"Name","DPS"
"Electrostatic Lasso 915","1738633"
"Electrostatic Lasso 920","1744946"
"Electrostatic Lasso 925","1750056"
"Electrostatic Lasso 930","1756757"
"Electrostatic Lasso 935","1760174"
"Electrostatic Lasso 940","1768809"
"Electrostatic Lasso 945","1775127"
"Electrostatic Lasso 950","1781671"
"Electrostatic Lasso 955","1788779"
"Electrostatic Lasso 960","1797506"
"Forgefiend's Fabricator 915","1704623"
"Forgefiend's Fabricator 920","1708742"
"Forgefiend's Fabricator 925","1713333"
"Forgefiend's Fabricator 930","1716355"
"Forgefiend's Fabricator 935","1719497"
"Forgefiend's Fabricator 940","1723519"
"Forgefiend's Fabricator 945","1730180"
"Forgefiend's Fabricator 950","1734423"
"Forgefiend's Fabricator 955","1739021"
"Forgefiend's Fabricator 960","1746254"
"Gorshalach's Legacy 915","1705288"
"Gorshalach's Legacy 920","1709269"
"Gorshalach's Legacy 925","1712920"
"Gorshalach's Legacy 930","1717019"
"Gorshalach's Legacy 935","1722225"
"Gorshalach's Legacy 940","1725645"
"Gorshalach's Legacy 945","1728986"
"Gorshalach's Legacy 950","1734018"
"Gorshalach's Legacy 955","1740436"
"Gorshalach's Legacy 960","1743562"
"NoLegosNoTrinks","1631515"
"Seeping Scourgewing 915","1679997"
"Seeping Scourgewing 920","1681180"
"Seeping Scourgewing 925","1680490"
"Seeping Scourgewing 930","1683341"
"Seeping Scourgewing 935","1683915"
"Seeping Scourgewing 940","1685388"
"Seeping Scourgewing 945","1686930"
"Seeping Scourgewing 950","1685916"
"Seeping Scourgewing 955","1688627"
"Seeping Scourgewing 960","1691503"
"Shadow-Singed Fang 915","1713191"
"Shadow-Singed Fang 920","1718932"
"Shadow-Singed Fang 925","1718864"
"Shadow-Singed Fang 930","1722753"
"Shadow-Singed Fang 935","1727068"
"Shadow-Singed Fang 940","1732868"
"Shadow-Singed Fang 945","1735170"
"Shadow-Singed Fang 950","1740657"
"Shadow-Singed Fang 955","1742060"
"Shadow-Singed Fang 960","1747668"
"Fluffy_Pillow","0"
"Fluffy_Pillow_Add1","0"
"Fluffy_Pillow_Add2","0"
"Fluffy_Pillow_Add3","0"
"Fluffy_Pillow_Add4","0"
"Fluffy_Pillow_Add5","0"
