"Name","DPS"
"Electrostatic Lasso 915","1128692"
"Electrostatic Lasso 920","1132204"
"Electrostatic Lasso 925","1135410"
"Electrostatic Lasso 930","1141283"
"Electrostatic Lasso 935","1146346"
"Electrostatic Lasso 940","1149947"
"Electrostatic Lasso 945","1155291"
"Electrostatic Lasso 950","1160869"
"Electrostatic Lasso 955","1166519"
"Electrostatic Lasso 960","1172025"
"Forgefiend's Fabricator 915","1089288"
"Forgefiend's Fabricator 920","1091065"
"Forgefiend's Fabricator 925","1094422"
"Forgefiend's Fabricator 930","1096005"
"Forgefiend's Fabricator 935","1097361"
"Forgefiend's Fabricator 940","1100715"
"Forgefiend's Fabricator 945","1103369"
"Forgefiend's Fabricator 950","1105821"
"Forgefiend's Fabricator 955","1109012"
"Forgefiend's Fabricator 960","1111177"
"Gorshalach's Legacy 915","1089172"
"Gorshalach's Legacy 920","1091438"
"Gorshalach's Legacy 925","1093297"
"Gorshalach's Legacy 930","1095170"
"Gorshalach's Legacy 935","1097543"
"Gorshalach's Legacy 940","1100641"
"Gorshalach's Legacy 945","1102755"
"Gorshalach's Legacy 950","1106280"
"Gorshalach's Legacy 955","1108589"
"Gorshalach's Legacy 960","1112115"
"NoLegosNoTrinks","1044974"
"Seeping Scourgewing 915","1079484"
"Seeping Scourgewing 920","1079402"
"Seeping Scourgewing 925","1080230"
"Seeping Scourgewing 930","1081278"
"Seeping Scourgewing 935","1082231"
"Seeping Scourgewing 940","1083996"
"Seeping Scourgewing 945","1083737"
"Seeping Scourgewing 950","1085915"
"Seeping Scourgewing 955","1087355"
"Seeping Scourgewing 960","1088059"
"Shadow-Singed Fang 915","1099903"
"Shadow-Singed Fang 920","1102062"
"Shadow-Singed Fang 925","1103935"
"Shadow-Singed Fang 930","1105860"
"Shadow-Singed Fang 935","1107945"
"Shadow-Singed Fang 940","1110266"
"Shadow-Singed Fang 945","1113355"
"Shadow-Singed Fang 950","1116153"
"Shadow-Singed Fang 955","1118928"
"Shadow-Singed Fang 960","1120834"
"Fluffy_Pillow","0"
