Name,DPS
KJChaos ,1313590
SephuzChaos ,1293978
CinidariaChaos ,1288649
RaddonChaos ,1286821
KJSephuz ,1284000
ChaosDelusion ,1283554
RaddonKJ ,1281859
ChaosAnger ,1281129
KJCinidaria ,1280671
KJDelusion ,1279723
PrydazChaos ,1276353
AchorChaos ,1276330
KJAnger ,1275357
AchorKJ ,1267362
PrydazKJ ,1266199
RaddonSephuz ,1259314
LoramusChaos ,1258814
SephuzCinidaria ,1257069
MoChaos ,1255042
RaddonCinidaria ,1254619
SephuzDelusion ,1253891
LoramusKJ ,1253371
CinidariaAnger ,1252881
CinidariaDelusion ,1251955
RaddonDelusion ,1250754
RaddonAnger ,1250335
MoKJ ,1249729
DelusionAnger ,1247139
AchorSephuz ,1246512
SephuzAnger ,1245898
PrydazSephuz ,1245352
RaddonAchor ,1243111
AchorCinidaria ,1241991
RaddonPrydaz ,1241573
PrydazCinidaria ,1241248
AchorAnger ,1238431
AchorDelusion ,1238302
PrydazDelusion ,1235199
PrydazAnger ,1232571
LoramusSephuz ,1230940
AchorPrydaz ,1229375
LoramusCinidaria ,1226997
LoramusRaddon ,1226433
MoSephuz ,1225637
MoCinidaria ,1225475
LoramusDelusion ,1223724
MoRaddon ,1222482
MoDelusion ,1221818
LoramusAnger ,1221501
SoulChaos ,1220466
MoAnger ,1220183
SoulKJ ,1215696
LoramusAchor ,1213533
LoramusPrydaz ,1211606
MoAchor ,1209649
MoPrydaz ,1208905
MoLoramus ,1196935
SoulSephuz ,1195281
SoulCinidaria ,1190821
SoulRaddon ,1190588
SoulDelusion ,1188282
SoulAnger ,1186757
SoulAchor ,1178144
SoulPrydaz ,1177568
NoLegos ,1165980
SoulLoramus ,1163111
SoulMo ,1160386
Fluffy_Pillow ,0
